=============================================================
Instance #0
=============================================================

Cycle #0 (148649 ms; 20 best solutions)
19.3487; 157.2; 86768.7276;  [3 8 2 9 5 7 3 8 1 2 1 2 6 7 1 4 5 1 2 6 1 3 1 1 3 5 1 9 8 3 6 4 3 4 9 8 7 1 1 1]
20.8346; 156.5; 87262.9503;  [3 1 1 3 8 1 2 8 1 9 1 4 4 3 8 2 1 4 2 6 5 6 3 1 2 1 5 2 8 4 1 2 6 1 2 4 1 4 9 3]
23.2368; 147; 84060.9792;  [1 2 2 6 5 3 3 6 1 2 2 2 3 3 1 8 2 3 2 7 3 7 1 5 4 6 1 2 2 6 1 9 5 6 9 4 1 3 2 5]
47.5352; 136.1; 93153.009;  [5 3 8 4 3 6 8 7 2 4 6 9 2 5 8 9 1 3 9 9 1 7 4 9 2 3 7 4 6 4 8 5 9 2 7 3 4 7 4 9]
36.3115; 139.8; 88318.815;  [4 4 2 6 1 2 9 4 2 4 9 9 1 2 2 4 6 2 3 6 3 2 4 6 2 4 4 9 4 2 6 5 1 3 8 9 8 2 1 9]
34.6583; 140; 87445.9512;  [3 4 4 9 2 1 4 4 4 3 4 1 1 4 2 2 1 2 9 8 5 5 2 9 4 1 5 4 4 2 2 3 1 1 9 6 4 2 6 9]
32.4756; 142.3; 87208.2751;  [3 2 5 2 2 2 8 1 1 3 6 1 1 9 4 6 3 3 2 8 1 5 7 9 3 3 2 6 2 5 7 7 1 2 6 7 4 1 4 4]
31.9585; 142.4; 86949.1792;  [1 5 5 9 4 5 2 9 1 9 9 3 3 2 5 9 1 4 7 1 2 5 3 5 4 1 6 8 7 3 9 5 1 3 3 3 4 1 2 4]
36.5687; 139.7; 88378.2395;  [1 6 4 6 1 5 9 1 2 6 4 4 4 2 2 9 2 1 5 8 4 3 1 8 2 6 4 9 6 2 9 9 1 2 8 7 6 5 4 6]
26.5654; 145.1; 85122.7276;  [3 6 1 4 2 1 9 4 1 2 8 5 3 3 1 9 1 4 2 9 2 4 2 8 4 2 2 8 3 5 3 1 3 9 5 2 5 2 4 3]
25.4768; 146.6; 85212.6272;  [1 8 6 2 3 7 2 6 1 1 2 3 1 6 2 8 1 3 3 1 6 2 1 9 3 3 8 1 5 6 3 8 6 8 5 4 1 1 1 6]
21.345; 148.8; 83846.837;  [3 6 4 2 5 1 2 6 1 6 2 2 2 2 2 7 2 2 1 5 2 1 1 3 1 1 9 3 1 3 8 7 5 4 2 7 7 2 3 3]
29.0392; 145; 86598.8934;  [4 3 3 8 3 1 8 2 1 3 8 7 3 5 7 8 1 5 2 2 5 4 1 2 3 1 6 9 1 8 1 1 1 8 1 5 2 4 1 9]
37.7443; 139.1; 88810.7269;  [3 6 7 5 5 1 5 5 2 8 4 7 1 2 4 3 3 3 4 4 1 2 9 9 1 6 2 4 2 7 5 8 7 6 1 8 8 1 3 9]
