=============================================================
Instance #0
=============================================================

Cycle #0 (97915 ms; 21 best solutions)
27,2449; 153,6; 89506,8717;  [4 4 3 4 6 2 2 5 2 4 2 2 1 3 3 2 3 5 6 6 7 5 8 3 5 6 2 4 9 5 1 4 1 5 4 6 5 2 2 6]
45,4218; 140,8; 94165,7024;  [7 3 2 8 7 6 3 9 1 9 7 6 1 4 2 8 1 6 6 9 4 5 7 9 1 2 1 7 5 4 5 8 6 7 1 7 8 2 7 9]
25,929; 153,9; 88966,3429;  [1 2 7 7 3 7 1 4 2 3 8 4 1 2 2 5 1 2 5 3 2 3 3 6 7 1 1 4 1 1 9 6 8 4 3 8 1 9 3 1]
29,5675; 149,3; 88837,7377;  [3 7 4 3 2 1 4 6 1 7 2 7 3 4 6 3 3 8 3 8 4 1 7 4 9 6 1 7 4 3 3 4 2 4 1 9 1 1 3 4]
43,9002; 141; 93334,9769;  [5 2 5 7 1 1 2 5 5 1 6 8 1 2 7 7 1 8 9 7 3 4 6 7 3 8 7 4 8 2 4 6 8 3 9 9 3 1 3 9]
23,6701; 156,8; 89014,3428;  [3 6 8 6 1 8 2 5 4 3 3 7 5 3 2 6 1 2 6 6 4 9 2 1 1 2 1 9 2 2 5 2 2 7 1 2 3 1 4 2]
24,9546; 154,4; 88610,7863;  [1 1 6 7 6 2 5 1 3 5 7 8 2 9 2 1 3 7 5 3 1 2 2 3 4 3 2 3 3 5 5 7 2 4 8 1 2 4 4 3]
24,778; 155; 88801,3965;  [8 2 2 4 3 3 1 8 2 1 3 5 1 7 3 4 1 2 6 1 1 1 6 8 9 3 6 7 3 5 4 1 7 8 2 7 1 2 4 1]
36,0957; 143,2; 89782,5533;  [3 1 6 4 3 4 4 8 3 3 8 7 1 8 3 9 2 8 5 5 5 2 6 4 4 1 4 7 2 4 3 3 1 2 6 6 2 3 1 8]
32,923; 147,5; 89987,8911;  [5 3 7 9 9 1 4 8 1 6 6 4 3 1 2 6 2 1 6 2 8 5 3 4 1 2 4 3 2 4 5 4 6 5 5 3 2 2 1 9]
30,6809; 147,8; 88820,9863;  [2 9 5 6 9 3 4 9 3 2 2 1 1 1 5 6 1 8 3 7 2 2 2 3 1 6 6 2 9 1 1 6 8 5 1 8 2 1 3 8]
30,3867; 148,4; 88945,0641;  [3 1 1 5 3 1 7 7 1 2 2 1 1 3 4 9 3 6 3 6 4 2 1 3 7 8 6 7 4 4 9 9 4 2 6 8 4 6 3 4]
22,7654; 159,6; 89862,5537;  [1 6 4 9 3 4 1 5 4 3 5 3 5 7 2 2 1 7 6 3 3 1 1 7 8 5 3 6 8 8 6 3 9 4 1 5 7 3 1 1]
23,1997; 157,3; 88938,9049;  [8 4 3 5 7 5 2 2 3 5 5 2 2 8 4 3 4 2 2 1 2 2 3 4 2 2 5 3 4 2 2 3 9 8 6 7 5 3 2 4]
27,9276; 151,6; 89044,7957;  [3 1 8 2 1 1 3 7 1 6 4 6 2 4 1 3 3 8 3 4 3 2 1 2 9 6 3 1 8 3 2 9 6 2 1 6 1 5 6 8]
22,3012; 160,1; 89829,5583;  [2 9 4 6 7 3 1 3 4 9 4 8 4 5 1 6 2 9 1 7 7 1 1 1 1 7 5 4 4 2 3 7 3 7 4 3 7 3 3 2]
19,0496; 165,7; 90600,4496;  [4 7 3 6 8 1 2 4 6 6 7 4 3 4 1 1 2 7 1 2 7 5 2 3 1 5 1 6 7 5 3 7 2 6 4 7 5 4 1 1]
20,7842; 160,3; 89064,6697;  [3 9 1 8 5 2 2 2 4 3 9 1 2 4 5 3 3 4 5 7 3 1 2 1 3 1 5 1 1 6 3 3 3 8 4 2 3 3 9 1]
33,7723; 145,1; 89283,4899;  [4 4 4 7 5 2 5 4 1 5 5 6 3 1 2 3 2 2 6 6 1 5 1 6 9 3 6 6 1 1 1 8 3 7 2 8 6 6 4 7]
