config	inst	time	count	best	spr	hv	gd	
rs50k	#0	144487	23	0.0000	0.7906	0.0870	0.1156	
rs50k	#0	144498	28	0.0000	0.8840	0.0701	0.1030	
rs50k	#0	144522	27	0.0000	0.8528	0.0835	0.1103	
rs50k	#0	144421	20	0.0000	0.8627	0.0967	0.1585	
rs50k	#0	144498	26	0.0000	0.8062	0.0765	0.1220	
rs50k	#0	144659	27	0.0000	0.7976	0.0808	0.1102	
rs50k	#0	144602	23	0.0000	0.9026	0.0766	0.1137	
rs50k	#0	144545	21	0.0000	0.9005	0.0762	0.1537	
rs50k	#0	144437	18	0.0000	0.8221	0.0868	0.1304	
rs50k	#0	144442	24	0.0000	0.7984	0.1140	0.1324	
rs50k	#0	144571	31	0.0000	0.8344	0.0779	0.0910	
nsga50k2x	#1	1098460	88	0.0147	0.6968	0.4726	0.0042	
nsga50k2x	#1	1100129	88	0.0221	0.5992	0.4640	0.0043	
nsga50k2x	#1	1096114	88	0.0294	0.6012	0.4727	0.0041	
nsga50k2x	#1	1098150	115	0.0147	0.5671	0.4602	0.0041	
nsga50k2x	#1	1097285	101	0.0147	0.5598	0.4566	0.0045	
nsga50k2x	#1	1096857	93	0.0368	0.6643	0.4789	0.0038	
nsga50k2x	#1	1095407	95	0.0221	0.6019	0.4575	0.0047	
nsga50k2x	#1	1101591	100	0.0441	0.6969	0.4694	0.0050	
nsga50k2x	#1	1099697	95	0.0221	0.6164	0.4691	0.0039	
nsga50k2x	#1	1092858	87	0.0441	0.5544	0.4720	0.0040	
nsga50k2x	#1	1098637	120	0.0000	0.6223	0.4467	0.0047	
nsga50k2x	#1	1099963	82	0.0221	0.6475	0.4666	0.0052	
nsga50k2x	#1	1095877	100	0.0147	0.7175	0.4636	0.0053	
nsga50k2x	#1	1098877	96	0.0000	0.6530	0.4613	0.0042	
nsga50k2x	#1	1099493	95	0.0074	0.6607	0.4651	0.0046	
nsga50k2x	#1	1099527	94	0.0147	0.6417	0.4627	0.0046	
nsga50k2x	#1	1099130	87	0.0074	0.5998	0.4598	0.0051	
nsga50k2x	#1	1103098	100	0.0221	0.6197	0.4676	0.0039	
nsga50k2x	#1	1097308	108	0.0000	0.6431	0.4546	0.0044	
nsga50k2x	#1	1101456	97	0.0074	0.6089	0.4610	0.0044	
nsga50k2x	#1	1094419	109	0.0074	0.5760	0.4559	0.0044	
nsga50k2x	#1	1097901	88	0.0221	0.6258	0.4603	0.0052	
nsga50k2x	#1	1094957	96	0.0221	0.6099	0.4724	0.0043	
nsga50k2x	#1	1097405	91	0.0074	0.5677	0.4666	0.0043	
nsga50k2x	#1	1098278	83	0.0221	0.6399	0.4648	0.0041	
nsga50k2x	#1	1101191	93	0.0000	0.6343	0.4615	0.0049	
nsga50k2x	#1	1096362	101	0.0147	0.6652	0.4676	0.0043	
nsga50k2x	#1	1095377	96	0.0221	0.6439	0.4624	0.0043	
nsga50k2x	#1	1097014	90	0.0368	0.6708	0.4669	0.0044	
nsga50k2x	#1	1093206	83	0.0147	0.5888	0.4712	0.0042	
nsga50k2x	#1	1099063	97	0.0294	0.5765	0.4638	0.0044	
nsga50k2x	#1	1101036	94	0.0147	0.5860	0.4676	0.0043	
nsga50k2x	#1	1096799	103	0.0221	0.6628	0.4691	0.0044	
nsga50k2x	#1	1285359	82	0.0221	0.6378	0.4708	0.0044	
nsga50k2x	#1	1213972	95	0.0147	0.6111	0.4685	0.0045	
nsga50k2x	#1	1103769	92	0.0000	0.5800	0.4509	0.0050	
nsga50k2x	#1	1110688	86	0.0294	0.6634	0.4685	0.0043	
nsga50k2x	#1	1105700	105	0.0147	0.6741	0.4646	0.0041	
nsga50k2x	#1	1104035	86	0.0441	0.6188	0.4712	0.0044	
nsga50k2x	#1	1105009	93	0.0074	0.5743	0.4668	0.0043	
nsga50k2x	#1	1101761	93	0.0588	0.6325	0.4690	0.0042	
nsga50k2x	#1	1103736	103	0.0368	0.7509	0.4619	0.0054	
nsga50k2x	#1	1105183	91	0.0441	0.5957	0.4689	0.0040	
nsga50k2x	#1	1108797	92	0.0147	0.6205	0.4651	0.0041	
nsga50k2x	#1	1107660	93	0.0147	0.6087	0.4663	0.0046	
nsga50k2x	#1	1108256	102	0.0000	0.5930	0.4614	0.0048	
nsga50k2x	#1	1105925	98	0.0074	0.5780	0.4724	0.0035	
nsga50k2x	#1	1108460	87	0.0515	0.6540	0.4717	0.0039	
nsga50k2x	#1	1109426	94	0.0147	0.6007	0.4708	0.0042	
nsga50k2x	#1	1122209	98	0.0294	0.6695	0.4665	0.0045	
rs50k	#1	845983	49	0.0000	0.7187	0.1822	0.0470	
rs50k	#1	846837	38	0.0000	0.7061	0.1930	0.0511	
rs50k	#1	845818	46	0.0000	0.8016	0.1783	0.0502	
