config	inst	time	count	best	spr	hv	gd	
rs5k	I2	320927	14	0	0.7021	0.4293	0.0569	
rs5k	I2	321058	20	0	0.7297	0.3737	0.0466	
rs5k	I2	320962	18	0	0.6097	0.3876	0.0529	
rs5k	I2	321679	22	0	0.7298	0.3631	0.0532	
rs5k	I2	321234	18	0	0.9201	0.4140	0.0612	
rs5k	I2	321307	19	0	0.6806	0.3711	0.0507	
rs5k	I2	321463	21	2	0.5720	0.4085	0.0440	
rs5k	I2	321354	15	1	0.7298	0.4131	0.0514	
rs5k	I2	321381	8	2	0.6680	0.5526	0.0415	
rs5k	I2	321315	9	0	0.6357	0.4425	0.0492	
rs5k	I2	321395	9	1	0.7501	0.4873	0.0482	
rs5k	I2	321637	15	0	0.6244	0.4501	0.0498	
rs5k	I2	321594	15	2	0.6903	0.4643	0.0515	
rs5k	I2	321238	20	0	0.7413	0.4010	0.0483	
rs5k	I2	321351	22	0	0.8347	0.3789	0.0536	
rs5k	I2	321364	20	0	0.8027	0.3932	0.0521	
rs5k	I2	321627	13	0	0.5634	0.3625	0.0566	
rs5k	I2	320999	15	0	0.7400	0.4569	0.0550	
rs5k	I2	321458	8	3	0.7807	0.6566	0.0397	
rs5k	I2	321349	10	0	0.6945	0.5187	0.0451	
rs5k	I2	320818	14	1	0.7703	0.4910	0.0475	
rs5k	I2	321631	17	1	0.7303	0.4624	0.0471	
rs5k	I2	321242	15	1	0.8101	0.5514	0.0546	
rs5k	I2	321565	12	0	0.6322	0.4069	0.0592	
rs5k	I2	321774	11	0	0.6852	0.4457	0.0532	
rs5k	I2	321344	14	0	0.7900	0.4776	0.0510	
rs5k	I2	321815	13	1	0.7798	0.4397	0.0522	
rs5k	I2	321349	19	0	0.6981	0.3762	0.0486	
rs5k	I2	321404	15	0	0.6500	0.4016	0.0545	
rs5k	I2	321670	9	1	0.7869	0.4986	0.0594	
rs5k	I2	321158	22	0	0.9147	0.4257	0.0475	
rs5k	I2	321474	15	0	0.8170	0.4269	0.0432	
rs5k	I2	321208	22	0	0.5914	0.4446	0.0430	
rs5k	I2	320675	7	0	0.6836	0.5748	0.0619	
rs5k	I2	321520	22	0	0.8684	0.4414	0.0564	
rs5k	I2	321488	12	1	0.7232	0.4905	0.0528	
rs5k	I2	321239	20	0	0.7524	0.4344	0.0499	
rs5k	I2	321490	19	0	0.6066	0.3690	0.0490	
rs5k	I2	321123	18	0	0.6948	0.4503	0.0507	
rs5k	I2	320825	13	2	0.7237	0.5812	0.0421	
rs5k	I2	321795	18	0	0.6469	0.4775	0.0462	
rs5k	I2	321778	17	2	0.7674	0.4327	0.0468	
rs5k	I2	320932	19	1	0.5903	0.4541	0.0475	
rs5k	I2	321427	16	0	0.6295	0.4141	0.0522	
rs5k	I2	321524	11	2	0.6944	0.5289	0.0486	
rs5k	I2	321405	15	2	0.7620	0.4870	0.0542	
rs5k	I2	321930	17	0	0.6771	0.4166	0.0450	
rs5k	I2	321208	16	1	0.8136	0.5430	0.0520	
rs5k	I3	344662	19	0	0.3845	0.4313	0.0423	
rs5k	I3	345256	19	1	0.6063	0.4203	0.0378	
rs5k	I3	344802	18	0	0.5753	0.4296	0.0367	
rs5k	I3	344525	17	0	0.6735	0.4915	0.0492	
rs5k	I3	344869	17	0	0.6673	0.4731	0.0572	
rs5k	I3	345358	16	0	0.5058	0.4598	0.0452	
rs5k	I3	345347	18	1	0.8942	0.4474	0.0584	
rs5k	I3	344505	13	2	0.6836	0.5110	0.0442	
rs5k	I3	344839	21	2	0.5755	0.3977	0.0379	
rs5k	I3	344051	28	0	0.6814	0.4642	0.0423	
rs5k	I3	343874	22	0	0.6267	0.4375	0.0353	
rs5k	I3	345629	19	0	0.6488	0.4273	0.0416	
rs5k	I3	345018	13	0	0.7562	0.4443	0.0398	
rs5k	I3	344983	15	0	0.6783	0.5064	0.0526	
rs5k	I3	344913	20	1	0.8856	0.4403	0.0510	
rs5k	I3	347784	18	0	0.7940	0.5311	0.0398	
rs5k	I3	344384	23	0	0.7106	0.3994	0.0639	
rs5k	I3	344845	17	1	0.7000	0.4801	0.0404	
rs5k	I3	345225	25	0	0.7956	0.4146	0.0488	
rs5k	I3	344862	21	1	0.6377	0.4994	0.0341	
rs5k	I3	344336	20	1	0.6865	0.4738	0.0396	
rs5k	I3	344752	19	1	0.7279	0.4430	0.0504	
rs5k	I3	345653	18	1	0.8593	0.5098	0.0368	
rs5k	I3	344960	19	0	0.7726	0.4211	0.0487	
rs5k	I3	344502	17	0	0.7570	0.4255	0.0450	
rs5k	I3	344772	18	3	0.7885	0.4708	0.0421	
rs5k	I3	345125	18	0	0.8487	0.4932	0.0497	
rs5k	I3	344467	23	1	0.6977	0.4470	0.0436	
rs5k	I3	344845	17	2	0.6680	0.5586	0.0302	
