config	inst	time	count	rfsz	best	spr	hv	gd	
rs150k	I0	652183	29	411	0.0000	0.7794	0.1737	0.0830	
rs150k	I0	651627	38	411	0.0000	0.8172	0.1546	0.0699	
rs150k	I0	651118	40	411	0.0000	0.7856	0.1473	0.0640	
rs150k	I0	651033	29	411	0.0000	0.8379	0.1726	0.0786	
rs150k	I0	651782	34	411	0.0000	0.7044	0.1658	0.0633	
rs150k	I0	650596	40	411	0.0000	0.9179	0.1484	0.0751	
rs150k	I0	651245	44	411	0.0000	0.8956	0.1535	0.0747	
rs150k	I0	651423	37	411	0.0000	0.8155	0.1907	0.0773	
rs150k	I0	651629	35	411	0.0000	0.7921	0.1823	0.0819	
rs150k	I0	650908	32	411	0.0000	0.7879	0.1699	0.0885	
rs150k	I0	652278	36	411	0.0000	0.8332	0.1595	0.0872	
rs150k	I0	651411	37	411	0.0000	0.7455	0.1685	0.0687	
rs150k	I0	651432	38	411	0.0000	0.7501	0.1509	0.0731	
rs150k	I0	651537	25	411	0.0000	0.8023	0.1727	0.0865	
rs150k	I0	651671	39	411	0.0000	0.8701	0.1487	0.0649	
rs150k	I0	651134	30	411	0.0000	0.7986	0.1566	0.0773	
nsga150k2x	I1	3502684	168	269	0.0149	0.5650	0.5080	0.0017	
nsga150k2x	I1	3494039	168	269	0.0186	0.6767	0.4990	0.0025	
nsga150k2x	I1	3488137	163	269	0.0112	0.5869	0.5046	0.0022	
nsga150k2x	I1	3500689	148	269	0.0112	0.6489	0.5081	0.0020	
nsga150k2x	I1	3503619	146	269	0.0149	0.6626	0.4993	0.0024	
nsga150k2x	I1	3493227	160	269	0.0409	0.6242	0.5060	0.0019	
nsga150k2x	I1	3499735	138	269	0.0335	0.6863	0.5140	0.0020	
nsga150k2x	I1	3494030	167	269	0.0037	0.5437	0.5036	0.0022	
nsga150k2x	I1	3483744	161	269	0.0297	0.5961	0.5064	0.0022	
nsga150k2x	I1	3495313	155	269	0.0409	0.5966	0.5143	0.0018	
nsga150k2x	I1	3490112	167	269	0.0037	0.5313	0.5038	0.0021	
nsga150k2x	I1	3487779	165	269	0.0149	0.6186	0.5064	0.0020	
nsga150k2x	I1	3607917	163	269	0.0186	0.6065	0.5085	0.0019	
nsga150k2x	I1	3642741	148	269	0.0186	0.5711	0.5088	0.0019	
nsga150k2x	I1	3630220	138	269	0.0372	0.5832	0.5138	0.0018	
nsga150k2x	I1	3650715	163	269	0.0112	0.6770	0.5070	0.0021	
nsga150k2x	I1	3645041	168	269	0.0186	0.5844	0.5078	0.0020	
nsga150k2x	I1	3635288	168	269	0.0223	0.6389	0.5055	0.0019	
nsga150k2x	I1	3629860	146	269	0.0223	0.5686	0.5036	0.0025	
nsga150k2x	I1	3636461	163	269	0.0112	0.6526	0.5026	0.0024	
nsga150k2x	I1	3631097	156	269	0.0112	0.7038	0.5053	0.0026	
nsga150k2x	I1	2418287	155	269	0.0149	0.6427	0.5079	0.0020	
