inst	noh	mks	cst
I1	103.1245	382.7	243698.777
I1	27.8182	436.2	225483.6279
I1	14.1421	449.8	224120.5438
I1	14.6452	449.6	224288.2814
I1	81.3111	394	236344.116
I1	70.0794	400.9	233214.6996
I1	83.6719	392.4	236951.2974
I1	44.6149	419.5	227315.7203
I1	40.6364	423.1	226718.7256
I1	76.7233	396.2	234713.657
I1	40.6591	422.7	226600.2407
I1	18.1272	443.4	223292.6815
I1	43.4997	421.2	227508.6022
I1	40.5015	423.3	226734.3657
I1	83.7321	391.2	236470.2011
I1	91.3906	387.7	239174.434
I1	77.5907	395.1	234791.0392
I1	119.3282	378.6	251505.2366
I1	45.3998	418.4	227257.2575
I1	123.7721	377.8	253743.2168
I1	113.6414	380.7	248996.9986
I1	123.4421	378.2	253807.6345
I1	63.3032	404.7	231155.3763
I1	81.9017	393.4	236417.2032
I1	40.4839	424.3	227178.8825
I1	82.0247	392.9	236183.7981
I1	51.5492	414.3	228933.6704
I1	66.8441	402.6	232078.9184
I1	32.7248	430.1	225424.498
I1	50.1202	415.1	228362.2318
I1	49.6135	416.6	228876.8176
I1	102.8499	383.2	243859.0115
I1	59.484	408.3	230543.3707
I1	47.7373	417.3	228129.5373
I1	30.0899	433.3	225390.8798
I1	27.5834	437.2	225805.3885
I1	118.6465	378.7	251099.3821
I1	61.1112	407.5	231177.2067
I1	30.7767	432.7	225526.3857
I1	64.4795	404.5	231614.0329
I1	110.4167	381.6	247545.7555
I1	44.2642	420.5	227592.3913
I1	60.4289	408	230992.2742
I1	103.4304	382.4	243789.6808
I1	93.3395	386.9	240010.4417
I1	102.1998	383.9	243753.5112
I1	97.1068	384.5	241139.2995
I1	16.8538	445.8	223754.3725
I1	96.2039	385.9	241210.0497
I1	51.4245	414.7	228963.9127
I1	44.9594	419.3	227469.9694
I1	121.9371	378.5	253010.4797
I1	105.3888	382	244733.8222
I1	96.0295	386.5	241439.306
I1	74.0753	398.3	234251.0903
I1	27.8833	434.7	224774.315
I1	47.6585	417.6	228218.8449
I1	32.847	430	225503.7946
I1	50.0277	416.3	228958.0805
I1	34.6909	429	225951.8365
I1	131.0198	375.2	256824.9213
I1	36.5908	426.1	225844.6976
I1	123.5921	378	253703.9592
I1	27.563	437.4	225915.7541
I1	116.398	380	250405.9406
I1	43.8617	420.8	227500.8825
I1	118.398	379.5	251331.1731
I1	35.1554	428.2	226020.1946
I1	39.2257	424.7	226695.7999
I1	81.8852	393.6	236536.0056
I1	86.044	390.8	237631.7266
I1	100.8514	384.1	243115.9951
I1	61.3192	407.4	231264.6764
I1	116.7477	379.8	250521.1438
I1	110.8767	380.9	247514.8451
I1	67.5356	401.4	231952.6159
I1	90.0923	388.8	239023.8858
I1	20.7936	442.5	224434.6119
I1	78.4898	394.7	235088.6951
I1	22.0799	439.5	223719.1753
I1	40.1322	424.5	227148.6621
I1	72.4045	399.3	233785.8932
I1	72.6784	399.2	233899.7749
I1	61.777	406.9	231256.8386
I1	39.0283	425.3	226964.6913
I1	88.1123	390.2	238509.9126
I1	13.2204	450.1	223737.1028
I1	32.057	430.2	225184.3833
I1	65.0748	404.2	231850.7657
I1	65.7804	403.4	231904.9569
I1	38.3589	425.9	226676.1533
I1	70.3907	400.7	233249.373
I1	56.3861	409.1	229105.7004
I2	32.7931	374.2	198690.8557
I2	47.7874	363.5	202192.0164
I2	64.3936	350.9	205791.5807
I2	38.919	370.3	200366.3871
I2	66.3791	350.3	206654.1501
I2	50.0785	360.6	202091.1445
I2	41.9015	368.1	200940.6993
I2	14.6021	394.3	197766.9946
I2	68.37	346.2	205947.745
I2	43.0923	367.2	201210.0616
I2	76.4836	345.2	210206.7593
I2	46.0689	364.1	201558.1212
I2	40.9652	368.9	200790.0046
I2	78.4349	344.1	210756.7683
I2	52.4429	359.9	203236.7329
