inst	noh	mks	cst
I0	44.0816	127.4	86910.6362
I0	31.8288	139.6	85522.2217
I0	4.4164	167	82752.6129
I0	20.5428	150.9	84333.1217
I0	11.5371	159.9	83454.8912
I0	39.5519	131.9	86380.4058
I0	9.525	161.9	83256.1739
I0	12.4265	159	83541.4837
I0	44.4232	127	86955.3509
I0	9.0605	162.4	83200.6246
I0	49.9269	121.5	87596.3563
I0	43.0363	128.4	86801.4933
I0	32.1613	139.3	85501.7979
I0	3.9802	167.5	82709.8115
I0	44.9189	126.5	87035.4671
I0	32.6078	138.8	85557.7899
I0	12.6155	158.8	83586.3532
I0	34.8383	136.6	85792.5994
I0	13.7461	157.7	83707.5163
I0	30.6885	140.8	85356.5017
I0	29.3143	142.1	85212.7785
I0	14.2174	157.2	83737.7898
I0	17.0132	154.4	84051.9004
I0	47.8141	123.6	87364.4006
I0	30.0404	141.4	85298.1879
I0	41.9388	129.5	86619.0618
I0	50.1306	121.3	87621.1416
I0	3.2272	168.2	82646.9356
I0	5.7151	165.7	82893.9768
I0	23.1097	148.3	84555.0399
I0	44.3125	127.1	86982.8448
I0	14.1607	157.3	83722.6056
I0	46.0175	125.4	87143.6368
I0	28.6475	142.8	85151.719
I0	9.2371	162.2	83239.6844
I0	12.1525	159.3	83521.3921
I0	10.6496	160.8	83355.0101
I0	26.89	144.6	84953.4925
I0	22.418	149	84627.3512
I0	42.6177	128.8	86767.016
I0	42.8259	128.6	86740.8384
I0	3.3125	168.1	82651.5397
I0	36.7135	134.7	86082.5493
I0	40.2195	131.2	86477.1317
I0	43.6353	127.8	86840.8458
I0	11.4352	160	83431.3026
I0	46.8575	124.6	87220.6043
I0	29.1436	142.3	85181.9548
I0	37.9327	133.5	86160.2374
I0	22.5035	149	84518.4353
I0	43.9124	127.5	86901.4109
I0	50.2144	121.2	87642.1335
I0	45.5115	125.9	87108.7112
I0	12.4211	159	83578.7129
I0	30.0157	141.4	85325.3887
I0	32.415	139	85572.3494
I0	6.714	164.7	82989.3788
I0	6.2565	165.2	82928.8258
I0	38.2285	133.2	86243.4576
I0	9.721	161.7	83282.4816
I0	26.6634	144.8	84912.6934
I0	37.6162	133.8	86175.3646
I0	5.8682	165.6	82893.6752
I0	24.5406	146.9	84747.4312
I0	18.5161	152.9	84131.4008
I0	44.6189	126.8	87017.065
I0	35.8395	135.6	85901.4107
I0	34.2349	137.2	85858.459
I0	37.079	134.4	86048.3528
I0	5.4768	166	82855.5372
I0	28.9219	142.5	85242.6625
I0	22.3759	149.1	84508.6559
I0	17.8214	153.6	84057.9407
I0	51.6179	119.8	87811.2916
I0	17.6365	153.8	84046.698
I0	8.6228	162.8	83193.8162
I0	10.5457	160.9	83342.6448
I0	12.0869	159.4	83499.4889
I0	38.0643	133.4	86243.5367
I0	50.3171	121.1	87648.3948
I0	14.6321	156.8	83752.0194
I0	36.5646	134.9	86045.7294
I0	14.9287	156.5	83796.0367
I0	10.0315	161.4	83325.6362
I0	42.0561	129.4	86683.9852
I0	8.3319	163.1	83133.0273
I0	37.423	134	86154.4333
I0	31.7465	139.7	85513.5116
I0	15.8463	155.6	83873.5986
I0	45.6466	125.8	87140.9878
I0	12.5265	158.9	83550.317
I0	39.9346	131.5	86414.6685
I0	44.1445	127.3	86910.6382
I0	8.5119	162.9	83157.6686
I0	49.226	122.2	87516.0305
I0	42.5475	128.9	86712.7661
I0	22.6184	148.8	84616.2255
I0	13.3775	158.1	83624.1838
I0	16.9237	154.5	83994.9596
I0	26.8297	144.6	85023.5756
I0	24.7166	146.7	84819.4184
I0	4.1116	167.3	82727.9489
I0	10.9409	160.5	83426.5889
I0	16.5133	154.9	83976.1709
I0	4.526	166.9	82770.4963
I0	10.05	161.4	83309.0097
I0	32.5961	138.9	85600.7401
I0	37.9295	133.5	86164.1267
I0	36.7396	134.7	86029.5377
I0	32.3431	139.1	85580.7324
I0	35.2322	136.2	85885.6826
I0	45.6689	125.8	87082.474
I0	41.2861	130.2	86571.8879
I0	24.2201	147.2	84733.9405
I0	44.0543	127.4	86923.6824
I0	27.8195	143.6	85073.0199
I0	33.6688	137.8	85751.3558
I0	44.7384	126.7	86977.4511
I0	18.9169	152.5	84218.4202
I0	5.5106	165.9	82856.3319
I0	9.632	161.8	83271.1088
I0	42.9617	128.5	86769.3412
I0	17.7138	153.7	84082.306
I0	37.5664	133.9	86166.1541
I0	7.2181	164.2	83026.5376
I0	40.1196	131.3	86459.9375
I0	31.6267	139.8	85490.5631
I0	15.4141	156	83890.7181
I0	30.4359	141	85361.6368
I0	16.6583	154.8	83953.8369
I0	28.1458	143.3	85091.5258
I0	19.966	151.5	84298.238
I0	38.6207	132.8	86303.9532
I0	39.4868	132	86346.9157
I0	43.9174	127.5	86848.4816
I0	43.8654	127.6	86906.2709
I0	31.0391	140.4	85406.5064
I0	34.6188	136.8	85812.6065
I0	48.2185	123.2	87386.0672
I0	14.6165	156.8	83814.5975
I0	29.5174	141.9	85280.8216
I0	8.2244	163.2	83129.5726
I0	8.8193	162.6	83195.0901
I0	36.4116	135	86040.1685
I0	17.0191	154.4	84000.6808
I0	37.0355	134.4	86100.0574
I0	8.8565	162.6	83183.8258
I0	8.4543	163	83142.3848
I0	22.7309	148.7	84593.2358
I0	32.8504	138.6	85611.6057
I0	19.3373	152.1	84201.5347
I0	2.4319	169	82562.9658
I0	21.7182	149.7	84461.6923
I0	24.3865	147.1	84691.5302
I0	21.1335	150.3	84422.4737
I0	45.3233	126.1	87062.511
I0	6.1181	165.3	82924.0267
I0	25.4132	146	84866.2431
I0	49.0229	122.4	87489.1962
I0	7.3157	164.1	83037.5661
I0	30.0743	141.4	85294.7689
I0	10.8092	160.6	83392.589
I0	45.6522	125.8	87103.3411
I0	9.0296	162.4	83212.6251
I0	11.6602	159.8	83460.3528
I0	8.7342	162.7	83172.9901
I0	16.2213	155.2	83941.3497
I0	40.8121	130.6	86532.198
I0	4.6215	166.8	82772.305
I0	47.6886	123.8	87321.0845
I0	32.9293	138.5	85668.9291
I0	38.2127	133.2	86253.7227
I0	37.3468	134.1	86139.9273
I0	6.5566	164.9	82960.5731
I0	38.7159	132.7	86305.4739
I0	27.9208	143.5	85114.7605
I0	17.715	153.7	84064.2001
I0	43.6167	127.8	86864.6934
I0	5.8718	165.6	82893.6055
I0	40.5981	130.9	86478.869
I0	31.4225	140	85514.4797
I0	32.1149	139.3	85572.3819
I0	9.0344	162.4	83205.6262
I0	10.2594	161.2	83326.2817
I0	26.2125	145.2	84890.4916
I0	13.277	158.2	83613.0382
I0	44.8232	126.6	86997.5614
I0	45.2152	126.2	87052.6694
I0	20.076	151.4	84273.7415
I0	35.7223	135.7	85934.5269
I0	43.1502	128.3	86822.9061
I0	44.5151	126.9	86964.3682
I0	35.9151	135.5	85960.4783
I0	7.6142	163.8	83068.2857
I0	7.1358	164.3	83016.3414
I0	46.2149	125.2	87146.0462
I0	24.8277	146.6	84787.3218
I0	28.227	143.2	85151.2114
I0	46.3398	125.1	87166.5184
I0	41.3235	130.1	86619.7932
I0	45.7572	125.7	87078.2243
I0	25.1539	146.3	84760.504
I0	33.9182	137.5	85709.1074
I0	43.2221	128.2	86794.1582
I0	35.1321	136.3	85809.4192
I0	4.3154	167.1	82746.3227
I0	7.2145	164.2	83029.1436
I0	44.7208	126.7	87008.7367
I0	39.19	132.3	86329.0692
I0	40.7402	130.7	86527.4827
I0	20.9389	150.5	84398.1058
I0	9.0211	162.4	83215.3941
I0	41.3829	130.1	86601.4894
I0	37.8254	133.6	86199.1849
I0	5.7179	165.7	82882.1448
I0	42.7194	128.7	86769.6852
I0	26.034	145.4	84905.378
I0	44.454	127	86949.1778
I0	25.3938	146.1	84842.7168
I0	37.1436	134.3	86074.2572
I0	34.4137	137	85803.831
I0	13.9371	157.5	83697.8186
I0	40.125	131.3	86449.9091
I0	30.3353	141.1	85341.3337
I0	26.8725	144.6	84966.8646
I0	12.3377	159.1	83554.6591
I0	12.1664	159.3	83518.0975
I0	42.136	129.3	86672.1626
I0	23.4264	148	84655.7431
I0	21.2716	150.2	84434.4738
I0	42.0456	129.4	86708.9451
I0	29.9327	141.5	85257.033
I0	40.916	130.5	86518.2142
I0	7.3418	164.1	83037.1355
I0	20.1373	151.3	84345.3447
I0	19.6337	151.8	84269.5567
I0	23.6311	147.8	84627.9225
I0	44.2287	127.2	86948.2718
I0	14.4153	157	83762.7342
I0	13.7937	157.7	83691.2012
I0	49.8137	121.6	87590.1375
I0	17.8116	153.6	84096.0784
I0	47.7237	123.7	87349.3776
I0	38.8214	132.6	86324.9357
I0	15.2024	156.3	83791.7009
I0	11.0229	160.4	83395.3897
I0	37.9068	133.6	86194.682
I0	32.2209	139.2	85679.8753
I0	24.5353	146.9	84787.8965
I0	8.2655	163.2	83128.8633
I0	7.0274	164.4	83006.3404
I0	33.5136	137.9	85766.7781
I0	17.433	154	84033.9225
I0	43.3254	128.1	86821.9262
I0	29.6156	141.8	85309.2213
