config	inst	time	count	best	spr	hv	gd	
nsga50k2x	I1	1105183	91	6	0.5957	0.4689	0.0040	
nsga50k2x	I1	1108797	92	2	0.6205	0.4651	0.0041	
nsga50k2x	I1	1107660	93	2	0.6087	0.4663	0.0046	
nsga50k2x	I1	1108256	102	0	0.5930	0.4614	0.0048	
nsga50k2x	I1	1105925	98	1	0.5780	0.4724	0.0035	
nsga50k2x	I1	1108460	87	7	0.6540	0.4717	0.0039	
nsga50k2x	I1	1109426	94	2	0.6007	0.4708	0.0042	
nsga50k2x	I1	1122209	98	4	0.6695	0.4665	0.0045	
nsga50k2x	I2	1365834	61	2	0.6248	0.4791	0.0097	
nsga50k2x	I2	1266060	51	4	0.6544	0.4949	0.0092	
nsga50k2x	I2	1268851	52	1	0.5915	0.4828	0.0094	
nsga50k2x	I2	1269164	45	1	0.6287	0.4953	0.0081	
nsga50k2x	I2	1268429	50	7	0.7719	0.5073	0.0084	
nsga50k2x	I2	1267914	56	3	0.5810	0.5093	0.0064	
nsga50k2x	I2	1267804	72	0	0.6991	0.4617	0.0098	
nsga50k2x	I2	1268293	63	1	0.7528	0.4984	0.0098	
nsga50k2x	I2	1267764	60	2	0.6228	0.4912	0.0085	
nsga50k2x	I2	1263624	52	1	0.7425	0.4858	0.0115	
nsga50k2x	I2	1265095	47	1	0.5604	0.4859	0.0092	
nsga50k2x	I2	1269179	54	1	0.5831	0.4777	0.0090	
nsga50k2x	I2	1263979	51	1	0.6499	0.4971	0.0085	
nsga50k2x	I2	1265675	56	0	0.6851	0.4796	0.0097	
nsga50k2x	I2	1266611	61	1	0.7134	0.4857	0.0087	
nsga50k2x	I2	1265350	53	2	0.6487	0.4798	0.0093	
nsga50k2x	I2	1264199	50	2	0.6223	0.4863	0.0096	
nsga50k2x	I2	1264994	47	1	0.6473	0.4944	0.0082	
nsga50k2x	I2	1265156	55	1	0.7134	0.4830	0.0108	
nsga50k2x	I2	1265505	53	3	0.6462	0.4947	0.0083	
nsga50k2x	I2	1265362	51	3	0.7691	0.4985	0.0086	
nsga50k2x	I2	1263516	54	1	0.7496	0.4961	0.0080	
nsga50k2x	I2	1266423	61	2	0.5392	0.4738	0.0097	
nsga50k2x	I2	1265186	47	0	0.6123	0.4855	0.0106	
nsga50k2x	I2	1267084	59	2	0.5701	0.4956	0.0084	
nsga50k2x	I2	1263880	67	1	0.7416	0.4856	0.0096	
nsga50k2x	I2	1267132	68	0	0.6452	0.4716	0.0096	
nsga50k2x	I2	1268118	58	4	0.6838	0.4923	0.0081	
nsga50k2x	I2	1265644	54	0	0.5661	0.4854	0.0082	
nsga50k2x	I2	1264805	58	7	0.7007	0.5034	0.0093	
nsga50k2x	I2	1263826	62	1	0.5925	0.4885	0.0086	
nsga50k2x	I2	1268177	55	4	0.6024	0.4930	0.0094	
nsga50k2x	I2	1264813	60	2	0.5656	0.4925	0.0087	
nsga50k2x	I2	1265068	56	0	0.6221	0.4687	0.0095	
nsga50k2x	I2	1262728	62	1	0.5977	0.4669	0.0109	
nsga50k2x	I2	1267144	58	3	0.6073	0.4949	0.0075	
nsga50k2x	I2	1508470	55	0	0.6907	0.4779	0.0086	
nsga50k2x	I2	1323884	51	1	0.6989	0.4935	0.0091	
nsga50k2x	I2	1271455	63	1	0.7100	0.4725	0.0090	
nsga50k2x	I2	1270622	53	0	0.6291	0.4920	0.0085	
nsga50k2x	I2	1270624	57	1	0.6732	0.4835	0.0103	
nsga50k2x	I2	1270222	54	4	0.7179	0.5042	0.0087	
nsga50k2x	I2	1273894	50	3	0.6593	0.4914	0.0080	
nsga50k2x	I2	1271576	46	4	0.7041	0.5013	0.0097	
nsga50k2x	I2	1274127	58	1	0.7275	0.4888	0.0090	
nsga50k2x	I2	1271256	56	1	0.7056	0.4832	0.0106	
nsga50k2x	I2	1270708	56	1	0.7605	0.5030	0.0080	
nsga50k2x	I2	1272421	58	5	0.6926	0.5046	0.0082	
nsga50k2x	I2	1272197	52	3	0.6467	0.5018	0.0076	
nsga50k2x	I2	1268970	57	0	0.6649	0.4901	0.0086	
nsga50k2x	I3	1216641	74	4	0.6413	0.4228	0.0131	
nsga50k2x	I3	1223916	71	3	0.7541	0.4101	0.0143	
nsga50k2x	I3	1222287	72	3	0.5903	0.4120	0.0101	
nsga50k2x	I3	1226697	69	1	0.9543	0.4183	0.0302	
nsga50k2x	I3	1219850	72	1	0.6239	0.4090	0.0106	
nsga50k2x	I3	1220552	54	3	0.6277	0.4440	0.0090	
nsga50k2x	I3	1228608	68	2	0.7172	0.4375	0.0128	
nsga50k2x	I3	1220206	82	0	0.9489	0.3999	0.0246	
nsga50k2x	I3	1219786	77	1	0.6843	0.4049	0.0115	
nsga50k2x	I3	1225220	79	3	0.6161	0.4326	0.0085	
nsga50k2x	I3	1226959	77	4	0.5821	0.4356	0.0088	
nsga50k2x	I3	1225575	82	2	0.6678	0.4239	0.0080	
nsga50k2x	I3	1225697	76	2	0.8084	0.4134	0.0211	
nsga50k2x	I3	1210077	76	0	0.8508	0.3932	0.0258	
nsga50k2x	I3	1222080	84	1	0.6832	0.4010	0.0118	
nsga50k2x	I3	1222795	76	0	0.7075	0.4122	0.0139	
nsga50k2x	I3	1217178	72	0	0.5743	0.4029	0.0106	
nsga50k2x	I3	1217600	67	3	0.6467	0.4277	0.0107	
nsga50k2x	I3	1225601	63	1	0.6859	0.4178	0.0103	
nsga50k2x	I3	1222009	65	3	0.8492	0.4241	0.0209	
nsga50k2x	I3	1227963	69	2	0.6477	0.4408	0.0117	
nsga50k2x	I3	1227794	79	1	0.6906	0.4246	0.0090	
nsga50k2x	I3	1223116	81	0	0.6837	0.3936	0.0125	
nsga50k2x	I3	1227007	62	5	0.7450	0.4387	0.0089	
nsga50k2x	I3	1222107	68	3	0.6259	0.4189	0.0092	
nsga50k2x	I3	1232588	63	4	0.7701	0.4277	0.0150	
nsga50k2x	I3	1224159	67	0	0.6505	0.4193	0.0128	
nsga50k2x	I3	1233019	63	5	0.7368	0.4321	0.0179	
nsga50k2x	I3	1145147	56	5	0.6726	0.4532	0.0086	
