config	inst	time	count	best	spr	hv	gd	
nsga5k2x	I1	170932	49	0	0.5880	0.4491	0.0101	
nsga5k2x	I1	171348	45	0	0.6089	0.4440	0.0116	
nsga5k2x	I1	171017	51	0	0.5889	0.4520	0.0098	
nsga5k2x	I1	171243	37	3	0.5948	0.4518	0.0104	
nsga5k2x	I1	171700	54	1	0.6559	0.4261	0.0133	
nsga5k2x	I1	171063	51	2	0.6740	0.4451	0.0113	
nsga5k2x	I1	171537	41	4	0.6268	0.4760	0.0113	
nsga5k2x	I2	196333	34	0	0.7420	0.3562	0.0348	
nsga5k2x	I2	197121	23	0	0.5412	0.3859	0.0270	
nsga5k2x	I2	196871	23	0	0.7002	0.3968	0.0341	
nsga5k2x	I2	197392	22	1	0.6842	0.4204	0.0239	
nsga5k2x	I2	197433	23	0	0.6991	0.4093	0.0349	
nsga5k2x	I2	197473	24	0	0.6587	0.4187	0.0212	
nsga5k2x	I2	197553	27	0	0.6477	0.3851	0.0279	
nsga5k2x	I2	196899	22	2	0.5877	0.4454	0.0214	
nsga5k2x	I2	197040	27	2	0.7867	0.4037	0.0276	
nsga5k2x	I2	196965	24	0	0.6532	0.4058	0.0340	
nsga5k2x	I2	197097	28	0	0.5824	0.3751	0.0335	
nsga5k2x	I2	197053	38	3	0.5549	0.4002	0.0203	
nsga5k2x	I2	197636	28	0	0.5988	0.3828	0.0279	
nsga5k2x	I2	196719	27	2	0.6592	0.4383	0.0217	
nsga5k2x	I2	197359	33	0	0.4801	0.3818	0.0235	
nsga5k2x	I2	197387	27	1	0.6162	0.4099	0.0265	
nsga5k2x	I2	196923	24	0	0.6245	0.4039	0.0227	
nsga5k2x	I2	196600	19	2	0.5567	0.4328	0.0195	
nsga5k2x	I2	197152	36	0	0.6512	0.3938	0.0219	
nsga5k2x	I2	197032	28	1	0.5452	0.3829	0.0264	
nsga5k2x	I2	197343	23	2	0.5681	0.4099	0.0244	
nsga5k2x	I2	196674	22	2	0.5860	0.4151	0.0306	
nsga5k2x	I2	196844	32	0	0.6531	0.4360	0.0176	
nsga5k2x	I2	196941	35	0	0.7048	0.3868	0.0228	
nsga5k2x	I2	196862	26	0	0.6768	0.4111	0.0335	
nsga5k2x	I2	197126	28	2	0.4770	0.4324	0.0200	
nsga5k2x	I2	196798	33	0	0.7977	0.4099	0.0266	
nsga5k2x	I2	197452	26	3	0.5839	0.4447	0.0208	
nsga5k2x	I2	196615	32	1	0.7279	0.4247	0.0223	
nsga5k2x	I2	197258	27	1	0.6136	0.3954	0.0236	
