config	inst	time	count	best	spr	hv	
rs5k	I0	37234	11	3	0.6812	0.4385	
rs5k	I0	55184	17	1	0.8691	0.4103	
rs5k	I0	57590	17	0	0.9071	0.4101	
rs5k	I0	58491	20	0	0.6191	0.3831	
rs5k	I0	57979	21	0	0.7476	0.4254	
rs5k	I0	57151	18	1	0.7896	0.4168	
rs5k	I0	57187	16	2	0.5936	0.4287	
rs5k	I0	56120	18	0	0.6714	0.4164	
rs5k	I0	56713	19	0	0.8159	0.4051	
rs5k	I0	55685	19	0	0.7261	0.2919	
rs5k	I0	55045	14	2	0.7578	0.5395	
rs5k	I0	56760	18	0	0.7283	0.3918	
rs5k	I0	56525	12	0	0.6742	0.4581	
rs5k	I0	56782	15	2	0.5673	0.4202	
rs5k	I0	56635	18	0	0.7277	0.3001	
rs5k	I0	55625	17	1	0.5812	0.4132	
rs5k	I0	53990	18	0	0.6393	0.3343	
rs5k	I0	55565	19	0	0.7064	0.3863	
rs5k	I0	56006	15	0	0.7594	0.3613	
rs5k	I0	56430	19	0	0.8245	0.4040	
rs5k	I0	56348	16	1	0.5926	0.4541	
rs5k	I0	57080	18	1	0.7826	0.4333	
rs5k	I0	57520	10	2	0.5621	0.5805	
rs5k	I0	56990	9	2	0.7459	0.5423	
rs5k	I0	56372	25	0	0.7691	0.3777	
rs5k	I0	54109	12	0	0.5971	0.4084	
rs5k	I0	54181	15	1	0.7249	0.3905	
rs5k	I0	54887	19	0	0.7172	0.3762	
rs5k	I0	56383	15	0	0.7893	0.4948	
rs5k	I0	56311	25	1	0.7218	0.3506	
rs5k	I0	56268	21	0	0.6608	0.3028	
rs5k	I0	55794	22	0	0.6913	0.3600	
rs5k	I0	57101	19	0	0.7796	0.3973	
rs5k	I0	58312	15	0	0.6762	0.3825	
rs5k	I0	58004	13	0	0.7483	0.4619	
rs5k	I0	58101	18	1	0.7210	0.3542	
rs5k	I0	58579	18	0	0.8718	0.3854	
rs5k	I0	57961	21	1	0.6559	0.3616	
rs5k	I0	59387	22	0	0.6829	0.2993	
rs5k	I0	57562	20	0	0.7009	0.3835	
rs5k	I0	55320	23	0	0.7013	0.3106	
rs5k	I0	52940	18	1	0.7348	0.4839	
rs5k	I0	51610	20	0	0.8018	0.3895	
rs5k	I0	56986	18	0	0.7134	0.3682	
rs5k	I0	57880	16	1	0.7942	0.4092	
rs5k	I0	57099	16	0	0.6547	0.3624	
rs5k	I0	57273	9	2	0.5334	0.5478	
rs5k	I0	58335	12	0	0.8225	0.3910	
rs5k	I0	53722	19	0	0.8076	0.3523	
rs5k	I0	57286	23	0	0.7106	0.3791	
rs5k	I1	312808	31	0	0.5740	0.4657	
rs5k	I1	313290	33	0	0.6351	0.4840	
rs5k	I1	315004	31	0	0.6029	0.4703	
rs5k	I1	319612	21	2	0.5188	0.5105	
rs5k	I1	312216	22	1	0.7158	0.5308	
rs5k	I1	324378	32	0	0.7010	0.4725	
rs5k	I1	318702	32	1	0.6341	0.4929	
rs5k	I1	322407	32	0	0.5840	0.4775	
rs5k	I1	324421	27	3	0.6598	0.5514	
rs5k	I1	326662	26	1	0.6420	0.5124	
rs5k	I1	294982	34	1	0.6127	0.5063	
rs5k	I1	279580	24	1	0.6060	0.4911	
rs5k	I1	280482	32	0	0.6823	0.4820	
rs5k	I1	279534	34	2	0.6981	0.4941	
rs5k	I1	278836	26	1	0.5364	0.4995	
rs5k	I1	278992	22	3	0.7278	0.5781	
rs5k	I1	278806	26	0	0.6531	0.4971	
rs5k	I1	278098	24	1	0.7914	0.5043	
rs5k	I1	278744	29	1	0.6316	0.5073	
rs5k	I1	278490	36	0	0.6594	0.4686	
rs5k	I1	278859	23	2	0.6723	0.5191	
rs5k	I1	278870	23	2	0.7110	0.5338	
rs5k	I1	278409	26	0	0.6777	0.5138	
rs5k	I1	278747	21	1	0.4351	0.5274	
rs5k	I1	278482	34	0	0.6060	0.4882	
rs5k	I1	278675	26	0	0.6921	0.5000	
rs5k	I1	278948	28	1	0.6062	0.5016	
rs5k	I1	277875	30	1	0.6549	0.4918	
rs5k	I1	278315	25	0	0.6189	0.5027	
rs5k	I1	278568	34	1	0.6788	0.4846	
rs5k	I1	277969	37	1	0.6511	0.4966	
rs5k	I1	278332	24	2	0.7096	0.5266	
rs5k	I1	278842	34	1	0.6704	0.5080	
rs5k	I1	278096	35	0	0.6888	0.4691	
rs5k	I1	278227	25	3	0.7759	0.5305	
rs5k	I1	278617	22	1	0.7181	0.5106	
rs5k	I1	277684	27	1	0.5755	0.4990	
rs5k	I1	278234	31	0	0.6641	0.4710	
rs5k	I1	278221	31	1	0.6916	0.4980	
